category;count
2000/Slovakia/Swimming;2
2000/Slovenia/Rowing;2
2000/Slovenia/Shooting;1
2000/South Africa/Athletics;3
2000/South Africa/Swimming;2
2000/South Korea/Archery;9
2000/South Korea/Badminton;4
2000/South Korea/Baseball;24
2000/South Korea/Fencing;2
2000/South Korea/Gymnastics;2
2000/South Korea/Hockey;16
2000/South Korea/Judo;5
2000/South Korea/Shooting;1
2000/South Korea/Table Tennis;2
2000/South Korea/Taekwondo;4
2000/South Korea/Wrestling;4
2000/Spain/Athletics;1
2000/Spain/Boxing;1
2000/Spain/Cycling;2
2000/Spain/Football;17
2000/Spain/Gymnastics;1
2000/Spain/Handball;15
2000/Spain/Judo;1
2000/Spain/Swimming;1
2000/Spain/Taekwondo;1
2000/Spain/Tennis;2
2000/Sri Lanka/Athletics;1
2000/Sweden/Athletics;1
2000/Sweden/Canoeing;2
2000/Sweden/Handball;15
2000/Sweden/Sailing;1
2000/Sweden/Shooting;2
2000/Sweden/Swimming;9
2000/Sweden/Table Tennis;1
2000/Sweden/Wrestling;1
2000/Switzerland/Cycling;2
2000/Switzerland/Equestrian;4
2000/Switzerland/Fencing;4
2000/Switzerland/Rowing;1
2000/Switzerland/Shooting;1
2000/Switzerland/Triathlon;2
2000/Thailand/Boxing;2
2000/Thailand/Weightlifting;1
2000/Trinidad and Tobago/Athletics;2
2000/Turkey/Judo;1
2000/Turkey/Taekwondo;1
2000/Turkey/Weightlifting;1
2000/Turkey/Wrestling;2
2000/Ukraine/Archery;3
2000/Ukraine/Athletics;2
2000/Ukraine/Boxing;5
2000/Ukraine/Cycling;5
2000/Ukraine/Diving;2
2000/Ukraine/Gymnastics;7
2000/Ukraine/Judo;1
2000/Ukraine/Sailing;2
2000/Ukraine/Shooting;1
2000/Ukraine/Swimming;4
2000/Ukraine/Trampoline;1
2000/Ukraine/Wrestling;2
2000/United States/Archery;4
2000/United States/Athletics;28
2000/United States/Baseball;24
2000/United States/Basketball;23
2000/United States/Beach Volleyball;2
2000/United States/Boxing;4
2000/United States/Cycling;3
2000/United States/Diving;1
2000/United States/Equestrian;9
2000/United States/Football;13
2000/United States/Gymnastics;6
2000/United States/Modern Pentathlon;1
2000/United States/Rowing;6
2000/United States/Sailing;8
2000/United States/Shooting;3
2000/United States/Softball;15
2000/United States/Swimming;66
2000/United States/Taekwondo;1
2000/United States/Tennis;4
2000/United States/Waterpolo;13
2000/United States/Weightlifting;2
2000/United States/Wrestling;7
2000/Uruguay/Cycling;1
2000/Uzbekistan/Boxing;3
2000/Uzbekistan/Wrestling;1
2000/Vietnam/Taekwondo;1
2002/Australia/Freestyle Skiing;1
2002/Australia/Short-Track Speed Skating;1
2002/Austria/Alpine Skiing;9
2002/Austria/Biathlon;1
2002/Austria/Cross Country Skiing;2
2002/Austria/Luge;1
2002/Austria/Nordic Combined;6
2002/Austria/Skeleton;1
2002/Belarus/Freestyle Skiing;1
2002/Bulgaria/Biathlon;1
2002/Bulgaria/Short-Track Speed Skating;2
2002/Canada/Cross Country Skiing;1
2002/Canada/Curling;10
2002/Canada/Figure Skating;2
2002/Canada/Freestyle Skiing;2
2002/Canada/Ice Hockey;42
2002/Canada/Short-Track Speed Skating;14
2002/Canada/Speed Skating;3
2002/China/Figure Skating;2
2002/China/Short-Track Speed Skating;14
2002/Croatia/Alpine Skiing;4
2002/Czech Republic/Cross Country Skiing;2
2002/Czech Republic/Freestyle Skiing;1
2002/Estonia/Cross Country Skiing;3
2002/Finland/Freestyle Skiing;1
2002/Finland/Nordic Combined;7
2002/Finland/Ski Jumping;5
2002/France/Alpine Skiing;4
2002/France/Biathlon;5
2002/France/Figure Skating;2
2002/France/Freestyle Skiing;1
2002/France/Snowboarding;3
2002/Germany/Alpine Skiing;1
2002/Germany/Biathlon;15
2002/Germany/Bobsleigh;10
2002/Germany/Cross Country Skiing;11
2002/Germany/Luge;6
2002/Germany/Nordic Combined;5
2002/Germany/Ski Jumping;5
2002/Germany/Speed Skating;8
2002/Great Britain/Curling;5
2002/Great Britain/Skeleton;1
2002/Italy/Alpine Skiing;3
2002/Italy/Cross Country Skiing;9
2002/Italy/Figure Skating;2
2002/Italy/Luge;1
2002/Italy/Short-Track Speed Skating;5
2002/Italy/Snowboarding;1
2002/Japan/Freestyle Skiing;1
2002/Japan/Speed Skating;1
2002/Netherlands/Speed Skating;8
2002/Norway/Alpine Skiing;4
2002/Norway/Biathlon;12
2002/Norway/Cross Country Skiing;17
2002/Norway/Curling;5
2002/Norway/Freestyle Skiing;1
2002/Norway/Speed Skating;2
2002/Poland/Ski Jumping;2
2002/Russia/Biathlon;6
2002/Russia/Cross Country Skiing;4
2002/Russia/Figure Skating;7
2002/Russia/Ice Hockey;21
2002/Slovenia/Ski Jumping;4
2002/South Korea/Short-Track Speed Skating;7
2002/Sweden/Alpine Skiing;2
2002/Sweden/Biathlon;2
2002/Sweden/Cross Country Skiing;1
2002/Sweden/Ice Hockey;20
2002/Sweden/Snowboarding;1
2002/Switzerland/Alpine Skiing;1
2002/Switzerland/Bobsleigh;4
2002/Switzerland/Cross Country Skiing;4
2002/Switzerland/Curling;10
2002/Switzerland/Skeleton;1
2002/Switzerland/Ski Jumping;2
2002/Switzerland/Snowboarding;2
2002/United States/Alpine Skiing;2
2002/United States/Bobsleigh;10
2002/United States/Figure Skating;3
2002/United States/Freestyle Skiing;3
2002/United States/Ice Hockey;43
2002/United States/Luge;4
2002/United States/Short-Track Speed Skating;3
2002/United States/Skeleton;3
2002/United States/Snowboarding;5
2002/United States/Speed Skating;8
2004/Argentina/Basketball;12
2004/Argentina/Football;16
2004/Argentina/Hockey;16
2004/Argentina/Sailing;2
2004/Argentina/Swimming;1
2004/Argentina/Tennis;2
2004/Australia/Archery;1
2004/Australia/Athletics;6
2004/Australia/Baseball;24
2004/Australia/Basketball;12
2004/Australia/Canoeing;3
2004/Australia/Cycling;16
2004/Australia/Diving;9
2004/Australia/Hockey;16
2004/Australia/Rowing;19
2004/Australia/Shooting;2
2004/Australia/Softball;15
2004/Australia/Swimming;31
2004/Australia/Tennis;1
2004/Australia/Triathlon;1
2004/Austria/Judo;1
2004/Austria/Sailing;3
2004/Austria/Shooting;1
2004/Austria/Swimming;2
2004/Austria/Triathlon;1
2004/Azerbaijan/Boxing;2
2004/Azerbaijan/Shooting;2
2004/Azerbaijan/Wrestling;1
2004/Bahamas/Athletics;2
2004/Belarus/Athletics;3
2004/Belarus/Boxing;2
2004/Belarus/Canoeing;2
2004/Belarus/Cycling;1
2004/Belarus/Judo;1
2004/Belarus/Rowing;3
2004/Belarus/Shooting;1
2004/Belarus/Weightlifting;3
2004/Belarus/Wrestling;1
2004/Belgium/Cycling;1
2004/Belgium/Judo;1
2004/Belgium/Tennis;1
2004/Brazil/Athletics;1
2004/Brazil/Beach Volleyball;4
2004/Brazil/Equestrian;1
2004/Brazil/Football;17
2004/Brazil/Judo;2
2004/Brazil/Sailing;3
2004/Brazil/Volleyball;12
2004/Bulgaria/Boxing;1
2004/Bulgaria/Gymnastics;2
2004/Bulgaria/Judo;1
2004/Bulgaria/Rhythmic Gymnastics;6
2004/Bulgaria/Rowing;2
2004/Bulgaria/Shooting;2
2004/Bulgaria/Weightlifting;2
