category;count
Skeleton/Latvia;1
Skeleton/Russia;1
Skeleton/Switzerland;3
Skeleton/United States;3
Ski Jumping/Austria;12
Ski Jumping/Finland;10
Ski Jumping/Germany;9
Ski Jumping/Norway;11
Ski Jumping/Poland;4
Ski Jumping/Slovenia;4
Ski Jumping/Switzerland;4
Snowboarding/Australia;1
Snowboarding/Austria;3
Snowboarding/Canada;4
Snowboarding/Finland;2
Snowboarding/France;7
Snowboarding/Germany;1
Snowboarding/Italy;1
Snowboarding/Netherlands;1
Snowboarding/Norway;1
Snowboarding/Russia;1
Snowboarding/Slovakia;1
Snowboarding/Sweden;1
Snowboarding/Switzerland;7
Snowboarding/United States;17
Softball/Australia;45
Softball/Japan;44
Softball/United States;45
Speed Skating/Canada;26
Speed Skating/China;3
Speed Skating/Czech Republic;3
Speed Skating/Germany;22
Speed Skating/Italy;6
Speed Skating/Japan;6
Speed Skating/Netherlands;31
Speed Skating/Norway;3
Speed Skating/Poland;3
Speed Skating/Russia;9
Speed Skating/South Korea;6
Speed Skating/United States;22
Swimming/Argentina;1
Swimming/Australia;163
Swimming/Austria;3
Swimming/Belarus;2
Swimming/Brazil;8
Swimming/Canada;5
Swimming/China;35
Swimming/Costa Rica;2
Swimming/Croatia;1
Swimming/Denmark;1
Swimming/France;39
Swimming/Germany;32
Swimming/Great Britain;11
Swimming/Hungary;9
Swimming/Italy;16
Swimming/Japan;43
Swimming/Lithuania;1
Swimming/Netherlands;46
Swimming/Norway;2
Swimming/Poland;3
Swimming/Romania;6
Swimming/Russia;20
Swimming/Serbia;1
Swimming/Slovakia;2
Swimming/Slovenia;1
Swimming/South Africa;11
Swimming/South Korea;4
Swimming/Spain;3
Swimming/Sweden;9
Swimming/Trinidad and Tobago;1
Swimming/Tunisia;3
Swimming/Ukraine;7
Swimming/United States;267
Swimming/Zimbabwe;7
Synchronized Swimming/Canada;8
Synchronized Swimming/China;20
Synchronized Swimming/France;2
Synchronized Swimming/Japan;24
Synchronized Swimming/Russia;43
Synchronized Swimming/Spain;21
Synchronized Swimming/United States;11
Table Tennis/China;43
Table Tennis/Chinese Taipei;1
Table Tennis/Denmark;2
Table Tennis/France;2
Table Tennis/Germany;7
Table Tennis/Hong Kong;2
Table Tennis/Japan;3
Table Tennis/North Korea;1
Table Tennis/Singapore;7
Table Tennis/South Korea;15
Table Tennis/Sweden;1
Taekwondo/Afghanistan;2
Taekwondo/Argentina;1
Taekwondo/Australia;2
Taekwondo/Brazil;1
Taekwondo/Canada;2
Taekwondo/China;8
Taekwondo/Chinese Taipei;8
Taekwondo/Colombia;1
Taekwondo/Croatia;3
Taekwondo/Cuba;5
Taekwondo/Dominican Republic;1
Taekwondo/Egypt;1
Taekwondo/France;6
Taekwondo/Gabon;1
Taekwondo/Germany;2
Taekwondo/Great Britain;3
Taekwondo/Greece;4
Taekwondo/Iran;5
Taekwondo/Italy;3
Taekwondo/Japan;1
Taekwondo/Kazakhstan;1
Taekwondo/Mexico;6
Taekwondo/Nigeria;1
Taekwondo/Norway;2
Taekwondo/Russia;3
Taekwondo/Serbia;1
Taekwondo/South Korea;14
Taekwondo/Spain;4
Taekwondo/Thailand;3
Taekwondo/Turkey;6
Taekwondo/United States;8
Taekwondo/Venezuela;2
Taekwondo/Vietnam;1
Tennis/Argentina;3
Tennis/Australia;3
Tennis/Belarus;3
Tennis/Belgium;3
Tennis/Canada;2
Tennis/Chile;5
Tennis/China;4
Tennis/Croatia;2
Tennis/Czech Republic;2
Tennis/France;6
Tennis/Germany;3
Tennis/Great Britain;3
Tennis/Netherlands;2
Tennis/Russia;8
Tennis/Serbia;1
Tennis/Spain;7
Tennis/Sweden;2
Tennis/Switzerland;3
Tennis/United States;16
Trampoline/Australia;1
Trampoline/Canada;6
Trampoline/China;8
Trampoline/Germany;2
Trampoline/Russia;4
Trampoline/Ukraine;2
Trampoline/Uzbekistan;1
Triathlon/Australia;5
Triathlon/Austria;1
Triathlon/Canada;2
Triathlon/Czech Republic;1
Triathlon/Germany;2
Triathlon/Great Britain;2
Triathlon/New Zealand;3
Triathlon/Portugal;1
Triathlon/Spain;1
Triathlon/Sweden;1
Triathlon/Switzerland;4
Triathlon/United States;1
Volleyball/Brazil;72
Volleyball/China;24
Volleyball/Cuba;20
Volleyball/Italy;36
Volleyball/Japan;12
Volleyball/Russia;70
Volleyball/Serbia and Montenegro;11
Volleyball/United States;36
Waterpolo/Australia;39
Waterpolo/Croatia;13
Waterpolo/Greece;13
Waterpolo/Hungary;39
Waterpolo/Italy;26
Waterpolo/Netherlands;12
Waterpolo/Russia;38
Waterpolo/Serbia;26
Waterpolo/Serbia and Montenegro;25
Waterpolo/Spain;12
Waterpolo/United States;63
Weightlifting/Armenia;5
Weightlifting/Azerbaijan;1
Weightlifting/Belarus;10
Weightlifting/Bulgaria;5
Weightlifting/Canada;1
Weightlifting/China;31
Weightlifting/Chinese Taipei;5
Weightlifting/Colombia;4
Weightlifting/Croatia;2
Weightlifting/Cuba;1
Weightlifting/France;1
Weightlifting/Georgia;2
Weightlifting/Germany;3
Weightlifting/Greece;6
Weightlifting/Hungary;2
Weightlifting/India;1
Weightlifting/Indonesia;8
Weightlifting/Iran;7
Weightlifting/Japan;1
Weightlifting/Kazakhstan;9
Weightlifting/Latvia;2
Weightlifting/Mexico;1
Weightlifting/Moldova;2
Weightlifting/Nigeria;1
Weightlifting/North Korea;8
Weightlifting/Poland;6
Weightlifting/Qatar;1
Weightlifting/Romania;2
Weightlifting/Russia;24
Weightlifting/South Korea;5
Weightlifting/Thailand;7
Weightlifting/Turkey;6
Weightlifting/Ukraine;6
Weightlifting/United States;2
Weightlifting/Venezuela;1
Weightlifting/Vietnam;1
Wrestling/Armenia;4
Wrestling/Azerbaijan;13
Wrestling/Belarus;4
Wrestling/Bulgaria;8
Wrestling/Canada;6
Wrestling/China;6
Wrestling/Colombia;2
Wrestling/Cuba;11
Wrestling/Egypt;2
Wrestling/Estonia;1
Wrestling/Finland;2
Wrestling/France;5
Wrestling/Georgia;14
Wrestling/Germany;1
Wrestling/Greece;2
Wrestling/Hungary;5
Wrestling/India;3
Wrestling/Iran;11
Wrestling/Italy;1
Wrestling/Japan;19
Wrestling/Kazakhstan;12
Wrestling/Kyrgyzstan;2
Wrestling/Lithuania;2
Wrestling/Macedonia;1
Wrestling/Mongolia;1
Wrestling/North Korea;2
Wrestling/Poland;2
Wrestling/Puerto Rico;1
Wrestling/Russia;41
Wrestling/Slovakia;1
Wrestling/South Korea;8
Wrestling/Spain;1
Wrestling/Sweden;4
Wrestling/Tajikistan;1
Wrestling/Turkey;8
Wrestling/Ukraine;10
Wrestling/United States;20
Wrestling/Uzbekistan;8
